Provider Type,Hours Of Operation,DMF Name,DMF Address 1,DMF Address 2,DMF City,DMF State,DMF Zip Code,DMF Phone,DMF Fax
Clinic,Open 24 Hrs,Adventhealth Durand,1220 3rd Ave W,,Durand,WI,54736,715-672-4211,7156724522
Occupational Medicine,"Mon-Fri: 0700-1700 ,hours do extend past 1700 on Mon, Wed, Thu",Family and Specialty Medical Center,515 N Main St,,Carroll,IA,51401,712-792-4000,712-792-7773
Occupational Medicine,Mon-Fri: 0800-1630,Aurora Occupational Healht,3509 Dewey St,,Manitowoc,WI,54220,920-686-5732,920-686-5726
Occupational Medicine,Mon-Fri: 0700-1600,MN Occupational Health,1611 St. Anthony Ave,,St. Paul,MN,55104,651-968-5300,651-646-0205
Occupational Medicine,Mon -Fri 7am-1700  Sat 9am -1300,Premier Occ Health,550 E. Boughton Road,# 140,Bolingbrook,IL,60440,630-792-0733,630-984-9881
Occupational Medicine,Mon-Fri: 0800-1700,MercyOne,226 Bluebell Rd,,Cedar Falls,IA,50613,319-575-5800,319-575-5855
Occupational Medicine,Mon-Thurs: 0730-1630 & Fri: 0730-1100  Need appointment,MercyOne Praire Creek,777 76th Ave Dr SW,,Cedar Rapids,IA,52404,319-558-0342,3195580343
Clinic-Concentra,Mon-Fri: 0800-1700,Concentra,3540 E 46th St,,Davenport,IA,52807,563-359-1170,563-359-3828
Occupational Medicine,Mon-Fri: 0800-1630,Great River Business Health,1401 W Agency Rd W,,Burlington,IA,52601,319-768-1000,319-768-4477
Occupational Medicine,Mon-Fri: 0800-1530,Advanced Chiropractic,3115 Agency St,,Burlington,IA,52601,319-752-1460,319-752-1461
Occupational Medicine,Mon-Fri:  0730-1700,Tri- County Occupational Health,4155 Pennsylvania Ave,,Dubuque,IA,52001,563-584-4600,563-582-7847
Occupational Medicine,Mon-Fri: 0800-1630,Sanford Occupational Health,3838 12th Ave N,,Fargo,ND,58102,701-234-4700,701-234-4757
Clinic-Concentra,Mon-Fri: 0800-1700,Concentra,2100 Dixon St,,Des Moines,IA,50316,515-265-1020,515-265-1511
Clinic,Mon-Fri: 0830-1800,Nova Medical Center Downtown,500 N Capitol Ave,,Indianapolis,IN,46204,317-983-5400,317-983-5401
Clinic-Concentra,Mon-Fri: 0800-1700,Concentra,6401 Front St,,Kansas City,MO,64120,816-241-0603,816-241-6276
Occupational Medicine,Mon-Fri: 0800-1700,MercyOne Siouxland Occupational Health,3500 Singing Hills Blvd,Ste 100,Sioux City,IA,51106,712-274-4250,712-274-4260
Occupational Medicine,Mon-Fri: 0800-1700,Workforce South,7600 S Mn Ave,,Sioux Falls,SD,57108,605-271-9000,605-271-9001
Occupational Medicine,Mon-Fri: 0800-1700,Freeman Occupational Health,3201 McClelland Blvd,,Joplin,MO,64804,417-347-6625,417-347-6695
Occupational Medicine,Mon-Fri: 0700-1600,MN Occupational Health,1661 St Anthony Ave,,Saint Paul,MN,55114,651-968-5300,651-646-0205
Occupational Medicine,Mon-Fri: 0700-1600,MN Occupational Health,1400 Corporate Center Curv,200,Eagan,MN,55121,651-968-5300,651-646-0205
Occupational Medicine,Mon-0Fri: 0800-1700,Mankato Clinic,1809 Adams St,,Mankato,MN,56001,507-625-1811,507-625-2795
Other,"Mon, Wed, Fri: 0700-1700 & Tues, Thurs: 0700-1800",Kort Physical Therapy,3121 E 10th St,,Jeffersonville,IN,47130,812-218-8039,812-218-8259
Occupational Medicine,Mon-Fri: 0730-1700,Business Health Plus,4755 Us-31 E,,Clarksville,IN,47129,812-282-4037,812-284-0438
Occupational Medicine,Mon-Fri:0800-1700,Compchoice,8630 F St,,Omaha,NE,68127,402-898-5600,402-898-5605
Clinic-Concentra,Mon-Fri: 0800-1700,Concentra,2455 N 124th St,,Brookfield,WI,53005,262-782-9326,262-782-9353
Clinic,Mon-Fri: 07:00-1700,Marshfield Clinic - Oakwood,3501 Golf Road, ,Eau Claire,WI,54701,715-858-4099, 
Occupational Medicine,Mon-Fri: 0700-1700,Olmsted Medical Group,210 9th St SE,,Rochester,MN,55904,507-288-3443,507-292-7001
Occupational Medicine,Mon-Fri: 0800-1700,Olmsted Medical Group,405 Kansas St SW,,Preston,MN,55965,507-765-5324,507-765-5329
Clinic,Mon-Fri: 0800-1700,MercyOne Iowa Medical Center,1504 4th St SW,,Mason City,IA,50401,641-428-7954,6414285765
Clinic,Open 24 Hrs,United Hospital District,515 S Moore St,,Blue Earth,MN,56013,507-526-3273,507-526-2467
Clinic-Concentra,Mon-Fri: 8a-5p,Concentra,4900 N 26th St,Ste 104,Lincoln,NE,68521,402-465-0010,4024650015
Occupational Medicine,Mon-Fri: 0700-1800,Lexington Regional Health Center,1201 N Erie St,,Lexington,NE,68850,308-324-5651,308-324-8611
Other,Mon-Fri: 0800-1700,Grand Island Physical Therapy,603 N Diers Ave,Ste 300,Grand Island,NE,68803,308-382-0344,308-382-3241
Occupational Medicine,Mon-Fri: 0800-2000,Twin Rivers,720 N Webb St,,Grand Island,NE,68803,308-395-7700,308-395-7713
Occupational Medicine,Mon-Fri: 0800-1700,Alpha Workforce,305 N 37th St,,Norfolk,NE,68701,402-370-4100,402-370-4101
Other,Mon-Fri: 0700-1800,Spier PT,3200 Rassen Dr,,Norfolk,NE,68701,402-371-2722,402-371-3313
Other,Mon-Fri: 0700-1800,Athletico Physical Therapy,3301 E Elkhorn Dr,,Fremont,NE,68025,402-721-0235,402-721-6167
Clinic,Mon-Fri: 10:00-22:00 S-S 12p-6p,Methodist Health System,1240 E 23rd St,,Fremont,NE,68025,402-354-2273,4028157105
Occupational Medicine,Mon-Fri: 0700-1600,MN Occupational Health,10239 Baltimore Street NE,#300,Blaine,MN,55449,651-968-5300,651-730-3516
Occupational Medicine,Mon-Fri: 0700-1600,MN Occupational Health,600 Coon Rapids Blvd NW,,Coon Rapids,MN,55433,651-968-5300,651-646-0205
Clinic-Concentra,Mon-Fri: 8a-5p,Concentra,2331 Alpine Ave NW,,Grand Rapids,MI,49544,616-785-2613,616-447-1930
Clinic-Concentra,Mon-Fri: 7a-5p,Concentra,335 North 120th Ave,,Holland,MI,49424,616-392-5222,616-392-3653
Clinic / Urgent Care,Mon-Fri 8am - 8pm,WellNow Clinic,1325 N. West Ave,,Jackson,MI,49202,517-395-2246,
EMR Med / Occ Med,Mon-Fri: 8a-7:30p,Covenant Med Express,2970 Pierce Rd,,Saginaw,MI,48604,989-583-0285,
Urgent Care,Mon-Fri: 7a-5p,NMedExpress Urgent Care,2558 Henry St,,Muskegon,MI,49441,231-755-6184,
Occ Med / Urgent Care,Mon-Fri: 9a-7p; Sat-Sun 8am-4pm,Munson Healthcare ,1996 Walden Dr,,Gaylord,MI,49735,989-731-4111,
Occ Med / Urgent Care,Mon - Fri 7am - 5pm,Bronson Pro Health,820 John St,Ste 102,Kalamazoo,MI,49001,269-341-8938,269-341-7556
Urgent Care,Mon-Fri: 9a-5p,Central Michigan Urgent Care,520 N. Mission St,,Mount Pleasant,MI,48858,989-772-9300,
Urgent Care / Occ Med,Mon-Fri: 7a-5p,Lansing Urgent Care,4440 W Saginaw Hwy,,Lansing,MI,48917,517-327-6400,
Clinic-Concentra,Mon-Fri: 7a-8p,Concentra,6423 Columbia Avenue,,Hammond,IN,46320,219-937-3632,219-937-4715
Occ Med / Urgent Care,Mon-Sat: 8a-7:30p; Sun 9am-5:30pm,Covenant Medical Center Express,2970 Pierce Rd,Ste #2,Saginaw,MI,48604,989-583-0287,989-583-0288
Urgent Care,Mon-Fri 8am - 8pm,WellNow Clinic,9065 E. 34th Road,,Cadillac,MI,49601,231-577-5017,
Clinic-Concentra,Mon-Fri: 8a-5p,Concentra,1830 Jarvis Avenue,,Elk Grove Village,IL,60007,847-952-1180,847-952-1183
Urgent Care,Mon 7am - 5pm Tues-Fri 8am -5pm ,Munson Urgent CARE,550 Munson Ave,,Traverse City,MI,49686,231-935-8686,231-935-8708
